Key,"BMV: CEMEX CPO","BMV: FEMSA UBD","BMV: GMEXICO B","BMV: GRUMA B","BMV:OMA B","BMV:WALMEX *",MXN,Money,"Expected Return","Standard Deviation","Change In Expected Return","Change In Std Dev","Change In Sharpe Ratio","Commission Cost","Spread Cost"
06/23/2017,96340,12037,73725,11308,193,25337,1781665.4975529,0,0.550567364307194,0.297701898754459,-0.216949183960696,-0.128714667729406,0.00891192611225344,24337.2731,3728.69999999913
06/30/2017,0,0,171071,11022,0,0,1742846.7236029,0,0.452688303997749,0.47919556353612,0.330685224292401,0.177328944077657,0.589557256639143,24783.27395,4071.80500000279
07/07/2017,0,0,0,50579,0,0,1538865.9170279,0,0.330310945426378,0.303410187044875,0.0496845625854661,-0.180154412488909,0.459217034039537,46241.376575,21291.4249999995
07/14/2017,0,0,0,50579,0,0,1538865.9170279,0,0.193619810968573,0.300763800293863,0,0,0,0,0
07/21/2017,0,-1,118163,22234,0,0,2074727.1753529,0,0.0610597846738508,0.346070412478424,0.12117672183674,0.01728006414472,0.36535488536538,34150.271675,8433.68999999944
07/28/2017,25351,0,0,48140,0,0,2034220.5707529,0,0.246271925083204,0.306619942193197,0.151341319200407,-0.0492326101821676,0.51836495241844,34412.4846,11144.7200000008
08/04/2017,16803,0,0,48888,0,0,2001303.4520529,0,0.503549308190142,0.30944951400106,0.0187486835440094,0.00334117275050883,0.0448980651072031,828.5987,210.500000001836
08/11/2017,16803,0,0,48888,0,0,2001303.4520529,0,1.30965195189432,0.309701851489265,0,0,0,0,0
08/18/2017,16803,0,0,48888,0,0,2001303.4520529,0,1.19626325423237,0.318982247344589,0,0,0,0,0
08/25/2017,177421,0,18690,31773,2714,7797,2149901.5365029,0,0.520215565878068,0.279225954977661,0.139667207544524,-0.0548407896952917,0.7004077632285,22153.79555,5029.50499999888
