BMV:GISSA A,BMV: GRUMA B,BMV: BACHOCO B,BMV:VITRO A,BMV: GAP B,BMV:GFNORTE O,BMV:HERDEZ *,BMV:AMX L,BMV: FEMSA UBD,BMV: CEMEX CPO,BMV:AUTLAN B,MXN
BMV: AC *,BMV: ALSEA *,BMV: AMX L,BMV: ASUR B,BMV: BIMBO A,BMV: CEMEX CPO,BMV: FEMSA UBD,BMV: GMEXICO B,BMV: GRUMA B,BMV:OMA B,BMV:WALMEX *,MXN
BMV: AC *,BMV: FEMSA UBD,BMV: GRUMA B,BMV:WALMEX *,BMV: ASUR B,BMV: BIMBO A,BMV: CEMEX CPO,BMV: CEMEX CPO,BMV: GMEXICO B,BMV: AMX L,,
